bmu_id,ngc_bmu_id,bmUnitName,fuelType,bmUnitType,productionOrConsumptionFlag,generationCapacity,leadPartyName,gspGroupName,interconnectorId,category,mapped
T_ABRBO-1,ABRBO-1,ABRBO-1,WIND,T,P,99.000,Aberdeen Offshore Wind Farm,,,displayable,False
T_ACHRW-1,ACHRW-1,AChruach Wind Farm,WIND,T,P,42.600,Mobius Renewables Gen. (GB2,,,displayable,False
T_AFTOW-1,AFTOW-1,Afton Wind Farm,WIND,T,P,50.000,Afton Wind Farm Limited,,,displayable,False
T_AKGLW-2,AKGLW-2,AIKENGALL II,WIND,T,P,63.840,Aikengall 2 CWCL,,,displayable,False
T_AKGLW-3,AKGLW-3,AIKENGALL2A-W,WIND,T,P,163.400,AIK2A Sustainable Energy Ltd,,,displayable,False
T_ANSUW-1,ANSUW-1,An Suidhe 1,WIND,T,P,19.360,Statkraft Markets Gmbh,,,displayable,False
T_ARCHW-1,ARCHW-1,Arecleoch,WIND,T,P,114.000,SP Renewables (UK) Limited,,,displayable,False
E_ASHWW-1,ASHWW-1,Andershaw Wind Farm,WIND,E,P,35.000,Statkraft Markets Gmbh,South Scotland,,displayable,False
E_BABAW-1,BABAW-1,Baillie Wind Farm,WIND,E,P,52.500,Statkraft Markets Gmbh,North Scotland,,displayable,False
T_BAGE-1,BAGE-1,BAGE-1,CCGT,T,P,500.000,Baglan Operations Ltd,,,displayable,False
T_BAGE-2,BAGE-2,BAGE-2,CCGT,T,P,32.000,Baglan Operations Ltd,,,displayable,False
T_BDCHW-1,BDCHW-1,Bad a Cheo Wind Farm,WIND,T,P,270.000,RWE Generation UK plc,,,displayable,False
T_BEINW-1,BEINW-1,Beinneun Wind farm,WIND,T,P,108.800,Beinneun Wind Farm Ltd,,,displayable,False
T_BENBW-1,BENBW-1,Benbrack WF,WIND,T,P,67.000,Benbrack Wind Farm Limited,,,displayable,False
E_BETHW-1,BETHW-1,BETHW-1,WIND,E,P,29.750,SP Renewables (UK) Limited,North Scotland,,displayable,False
T_BHLAW-1,BHLAW-1,Bhlaraidh Windfarm 1,WIND,T,P,108.000,SSE Generation Ltd,,,displayable,False
T_BLKWW-1,BLKWW-1,Blackcraig Windfarm,WIND,T,P,56.216,Blackcraig Wind Farm Limited,,,displayable,False
T_BLLA-1,BLLA-1,T_BLLA-1,WIND,T,P,118.000,SP Renewables (UK) Limited,,,displayable,False
E_BNWKW-1,BNWKW-1,Burn of Whilk Windfarm,WIND,E,P,22.500,Eneco Energy Trade,North Scotland,,displayable,False
E_BROXB-1,BROXB-1,BroxburnBattery,OTHER,E,P,50.000,ENGIE Power Limited,South Scotland,,displayable,False
E_BTUIW-2,BTUIW-2,Beinn An Tuirc 2,WIND,E,P,43.700,SP Renewables (UK) Limited,North Scotland,,displayable,False
E_BTUIW-3,BTUIW-3,Beinn an Tuirc III Windfarm,WIND,E,P,52.000,SP Renewables (UK) Limited,North Scotland,,displayable,False
M_CAS-BEU01,CAS-BEU01,Beauly Cascade,NPSHYD,T,P,93.514,SSE Generation Ltd,,,displayable,False
M_CAS-CON01,CAS-CON01,Conon Cascade,NPSHYD,T,P,95.226,SSE Generation Ltd,,,displayable,False
M_CAS-GAR01,CAS-GAR01,Garry Cascade,NPSHYD,T,P,40.000,SSE Generation Ltd,,,displayable,False
M_CAS-KIL01,CAS-KIL01,Killin Cascade,NPSHYD,T,P,70.000,SSE Generation Ltd,,,displayable,False
M_CAS-MOR01,CAS-MOR01,Moriston Cascade,NPSHYD,T,P,74.000,SSE Generation Ltd,,,displayable,False
E_CATHB-1,CATHB-1,CathkinBattery,OTHER,E,P,49.900,ENGIE Power Limited,South Scotland,,displayable,False
T_CGTHW-1,CGTHW-1,Corriegarth WF,WIND,T,P,69.000,Corriegarth Wind Energy LTD,,,displayable,False
T_CLDCW-1,CLDCW-1,Clyde Central,WIND,T,P,200.000,Clyde Windfarm (Scotland) Ltd,,,displayable,False
E_CNCLW-1,CNCLW-1,Coire Na Cloiche WF,WIND,E,P,30.520,Statkraft Markets Gmbh,North Scotland,,displayable,False
T_COUWW-1,COUWW-1,Cour Wind Farm,WIND,T,P,20.500,Cour Wind farm (Scotland) Ltd,,,displayable,False
T_CREAW-1,CREAW-1,Creag Riabhach Wind Farm,WIND,T,P,93.000,Creag Riabhach Wind Farm Ltd,,,displayable,False
T_CRGHW-1,CRGHW-1,Carraig Gheal Wind Farm,WIND,T,P,46.000,Statkraft Markets Gmbh,,,displayable,False
E_CRGTW-1,CRGTW-1,Craig 2 Wind Farm,WIND,E,P,4.700,British Gas Trading Ltd,South Scotland,,displayable,False
T_CRYRW-2,CRYRW-2,Crystal Rig II Windfarm,WIND,T,P,150.620,Eneco Energy Trade,,,displayable,False
T_CRYRW-3,CRYRW-3,Crystal Rig III,WIND,T,P,13.800,Eneco Energy Trade,,,displayable,False
T_CRYRW-4,CRYRW-4,Crystal Rig IV Wind Farm,WIND,T,P,48.200,Crystal Rig IV Limited,,,displayable,False
T_CUMHW-2,CUMHW-2,T_CUMHW-2,WIND,T,P,126.000,CUMBERHEAD WEST WIND FARM LTD,,,displayable,False
T_DALQW-1,DALQW-1,Dalquhandy  Wind Farm,WIND,T,P,42.846,Statkraft Markets Gmbh,,,displayable,False
T_DBAWO-1,DBAWO-1,Dogger Bank A Offshore WF 1,WIND,T,P,302.400,Doggerbank OWF Project 1,,,displayable,False
T_DBAWO-2,DBAWO-2,Dogger Bank A Offshore WF 2,WIND,T,P,304.000,Doggerbank OWF Project 1,,,displayable,False
